Clave,Tipo,Epic,Resumen,Estado,Tiempo Estimado (días)
INDAR-60,Epic,,ARRANQUE DE PROYECTO,Tareas por hacer,5.0
INDAR-61,Tarea,INDAR-60,INDAR: Petición esquema permisos,Finalizada,0.5
INDAR-62,Tarea,INDAR-60,INDARBK: Petición esquema permisos,Finalizada,0.5
INDAR-63,Tarea,INDAR-60,RUIAR: Petición esquema permisos,Tareas por hacer,0.5
INDAR-64,Tarea,INDAR-60,INDAR: Crear proyecto base,Finalizada,1.5
INDAR-65,Tarea,INDAR-60,INDARBK: Crear proyecto base,Finalizada,1.5
INDAR-66,Tarea,INDAR-60,RUIAR: Crear proyecto base,Tareas por hacer,1.5
INDAR-1,Epic,,USUARIOS,Tareas por hacer,32.0
INDAR-14,Tarea,INDAR-1,Crear tablas BD,En curso,3.0
INDAR-15,Tarea,INDAR-1,Insertar datos de tipo perfil,Tareas por hacer,1.0
INDAR-16,Tarea,INDAR-1,Generar clases java,Tareas por hacer,4.0
INDAR-17,Tarea,INDAR-1,Generar clases angular,Tareas por hacer,4.0
INDAR-18,Tarea,INDAR-1,Generar servicios de consulta a nuevas tablas,Tareas por hacer,5.0
INDAR-19,Tarea,INDAR-1,Generar visual para mostrar perfiles que contiene el NIF de la persona,Tareas por hacer,5.0
INDAR-20,Tarea,INDAR-1,Pantalla mantenimiento de usuarios y entidades,Tareas por hacer,10.0
INDAR-2,Epic,,MENÚ (header),Tareas por hacer,9.0
INDAR-21,Tarea,INDAR-2,Crear tablas BD,Tareas por hacer,2.0
INDAR-22,Tarea,INDAR-2,Generar clases java,Tareas por hacer,2.0
INDAR-23,Tarea,INDAR-2,Generar clases angular,Tareas por hacer,2.0
INDAR-24,Tarea,INDAR-2,Insertar datos de las diferentes entradas de menú en BD y permisos de visibilidad a cada tipo de perfil,Tareas por hacer,3.0
INDAR-3,Epic,,PERFIL,Tareas por hacer,5.0
INDAR-25,Tarea,INDAR-3,Generar clases angular y servicios de consulta al back,Tareas por hacer,5.0
INDAR-4,Epic,,PERMISOS USUARIO,Tareas por hacer,8.0
INDAR-26,Tarea,INDAR-4,Configurar mediante la tabla de BD permisos de cada usuario,Tareas por hacer,3.0
INDAR-27,Tarea,INDAR-4,Realizar desarrollo para contemplar los permisos de cada usuario y se apliquen visualmente,Tareas por hacer,5.0
INDAR-5,Epic,,PANTALLAS: INICIAL,Tareas por hacer,5.0
INDAR-28,Tarea,INDAR-5,Crear pantalla inicial,Tareas por hacer,5.0
INDAR-6,Epic,,PANTALLAS: MAESTROS ENTIDADES,Tareas por hacer,20.0
INDAR-31,Tarea,INDAR-6,OCAS,Tareas por hacer,5.0
INDAR-32,Tarea,INDAR-6,Titulares,Tareas por hacer,5.0
